Geo,Year,VanPropDiesel,VanPropGasoline,VanPropCng,BusPropGasoline,BusPropDiesel,BusPropCng,RailPropGasoline,RailPropDiesel
Albany,2010,1,0,0,0,1,0,0,1
Albany,2040,1,0,0,0,0,1,0,1
Bend,2010,1,0,0,0,0.960425903,0.039574097,0,1
Bend,2040,1,0,0,0,0,1,1,0
Corvallis,2010,1,0,0,0,0.960425903,0.039574097,0,1
Corvallis,2040,1,0,0,0,0,1,1,0
EugeneSpringfield,2010,1,0,0,0,1,0,0,1
EugeneSpringfield,2040,1,0,0,0,1,0,0,1
GrantsPass,2010,1,0,0,0,1,0,0,1
GrantsPass,2040,1,0,0,0,0,1,0,1
Metro,2010,1,0,0,0,0.960425903,0.039574097,0,1
Metro,2040,1,0,0,0,0,1,0,1
None,2040,0,1,0,0,1,0,1,0
None,2010,0,1,0,0,1,0,1,0
RogueValley,2010,1,0,0,0,0.20926472,0.79073528,0,1
RogueValley,2040,1,0,0,0,0,1,0,1
SalemKeizer,2010,1,0,0,0,0.336358787,0.663641213,0,1
SalemKeizer,2040,1,0,0,0,0,1,0,1
