Geo,Year,CenterPropWkrPay,CenterPropNonWrkTripPay,InnerPropWkrPay,InnerPropNonWrkTripPay,OuterPropWkrPay,OuterPropNonWrkTripPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
Albany,2040,0.014427,0,0,0,0,0,0.018814435,0,0,2.425578,0,0
Albany,2010,0.02,0,0,0,0,0,0,0,0,2.43,0,0
Bend,2040,0.031648132,0,0,0,0,0,0.018814435,0,0,0.824545709,0,0
Bend,2010,0.045305343,0,0,0,0,0,0,0,0,0.824545709,0,0
Corvallis,2040,0.481997,0,0,0,0,0,0.018814435,0,0,2.004216,0,0
Corvallis,2010,0.45,0,0,0,0,0,0,0,0,1.43,0,0
EugeneSpringfield,2010,0.0715,0.0715,0,0,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,2040,0.087,0.087,0,0,0,0,0.018814435,0,0,2.98,0,0
GrantsPass,2040,0,0,0,0,0,0,0.018814435,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0,0,0,0,0
Metro,2040,0.286666667,0.286666667,0,0,0,0,0.018814435,0,0,5.81,0,0
Metro,2010,0.13,0.13,0,0,0,0,0,0,0,8.36,0,0
None,2010,0.02,0,0,0,0,0,0,0,0,2.43,0,0
None,2040,0.014427,0,0,0,0,0,0.018814435,0,0,2.425578,0,0
RogueValley,2010,0.11,0,0,0,0,0,0,0,0,2.89,0,0
RogueValley,2040,0.086486,0,0,0,0,0,0.018814435,0,0,5.595963,0,0
SalemKeizer,2010,0.32,0.32,0,0,0,0,0,0,0,4.12,0,0
SalemKeizer,2040,0.278411,0.278411,0,0,0,0,0.018814435,0,0,4.122729,0,0
