Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Albany,2010,1,0,0,1,0,0,1,0,0
Albany,2040,1,0,0,1,0,0,1,0,0
Bend,2010,1,0,0,1,0,0,1,0,0
Bend,2040,1,0,0,1,0,0,1,0,0
Corvallis,2010,1,0,0,1,0,0,1,0,0
Corvallis,2040,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2010,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2040,1,0,0,1,0,0,1,0,0
GrantsPass,2010,1,0,0,1,0,0,1,0,0
GrantsPass,2040,1,0,0,1,0,0,1,0,0
Metro,2010,1,0,0,1,0,0,0,0,1
Metro,2040,1,0,0,0.536738316,0,0.463261684,0,0,1
None,2040,1,0,0,1,0,0,0,0,1
None,2010,1,0,0,1,0,0,0,0,1
RogueValley,2010,1,0,0,1,0,0,1,0,0
RogueValley,2040,1,0,0,1,0,0,1,0,0
SalemKeizer,2010,1,0,0,1,0,0,1,0,0
SalemKeizer,2040,1,0,0,1,0,0,1,0,0
