Geo,Year,D3bmm4
D410290014002,2010,0.040288568
D410290013012,2010,3.411823665
D410290014001,2010,0.240508404
D410290014003,2010,2.363127526
D410290013021,2010,0
D410290013025,2010,1.87
D410290013014,2010,1.368056631
D410290013011,2010,1.486376148
D410290011001,2010,0.6811797
D410290011003,2010,0.095463928
D410290009001,2010,0
D410290030011,2010,0.060021214
D410290010021,2010,0
D410290011002,2010,2.281670647
D410290013022,2010,0.660662234
D410290012001,2010,0.763530645
D410290012002,2010,2.1
D410290010013,2010,2.12007051
D410290010011,2010,24.52104352
D410290010014,2010,0
D410290010012,2010,20.66
D410290010023,2010,55.5868973
D410290010022,2010,0
D410290009002,2010,6.690140362
D410290009004,2010,0
D410290009003,2010,0.270847503
D410290015001,2010,0.940003474
D410290003002,2010,6.767992119
D410290008001,2010,2.21
D410290002011,2010,6.000450611
D410290002023,2010,12.06
D410290002021,2010,15.28
D410290002013,2010,0
D410290001002,2010,23.46
D410290001001,2010,5.21
D410290004061,2010,2.680075078
D410290003001,2010,5.830177222
D410290004052,2010,14.56060228
D410290004062,2010,7.46
D410290005023,2010,8.070051949
D410290005022,2010,21.44
D410290005011,2010,0
D410290005012,2010,4.69
D410290006013,2010,2.98
D410290005021,2010,22.21096374
D410290004051,2010,7.840320568
D410290004041,2010,0
D410290004042,2010,3.51
D410290004032,2010,6.42
D410290004031,2010,10.33
D410290025001,2010,0
D410290006023,2010,0.330001416
D410290006011,2010,1.080009141
D410290006012,2010,3.81
D410290006014,2010,7.95
D410290006021,2010,2.55
D410290006022,2010,2.660110984
D410290016011,2010,0.760009151
D410290007001,2010,4.4100368
D410290002012,2010,0
D410290002022,2010,6.740948095
D410290002033,2010,0
D410290002031,2010,5.39
D410290002032,2010,28.89
D410290007002,2010,6.75
D410290007005,2010,7.39
D410290007004,2010,5.13
D410290008002,2010,0.854765248
D410290015004,2010,3.34
D410290015003,2010,0
D410290015002,2010,0.290000657
D410290016024,2010,0
D410290007003,2010,0.62
D410290016023,2010,0.200188971
D410290016021,2010,0
D410290023001,2010,0.01
D410290017002,2010,0
D410290017001,2010,2.38
D410290016025,2010,2.95009073
D410290016012,2010,0
D410290016022,2010,0
D410290024001,2010,0.120067348
D410290024002,2010,0.084800014
D410290017003,2010,0.363961258
D410290017004,2010,1.55
D410290023002,2010,0
D410290021001,2010,0.2
D410290021002,2010,0
D410290021003,2010,0
D410290022001,2010,0
D410290020002,2010,17.14122391
D410290022002,2010,0
D410290019002,2010,5.430307471
D410290022003,2010,0
D410290022004,2010,1.649453266
D410290018003,2010,1.38
D410290018004,2010,8.440557394
D410290019001,2010,12.14057599
D410290018002,2010,1.3
D410290020001,2010,4.690343841
D410290018001,2010,0
D410290025003,2010,0.040033646
D410290013013,2010,5.050398529
D410290013024,2010,4.05
D410290013023,2010,12.23
D410290014002,2038,0.040288568
D410290013012,2038,3.411823665
D410290014001,2038,0.240508404
D410290014003,2038,2.363127526
D410290013021,2038,0
D410290013025,2038,1.87
D410290013014,2038,1.368056631
D410290013011,2038,1.486376148
D410290011001,2038,0.6811797
D410290011003,2038,0.095463928
D410290009001,2038,0
D410290030011,2038,0.060021214
D410290010021,2038,0
D410290011002,2038,2.281670647
D410290013022,2038,0.660662234
D410290012001,2038,0.763530645
D410290012002,2038,2.1
D410290010013,2038,2.12007051
D410290010011,2038,24.52104352
D410290010014,2038,0
D410290010012,2038,20.66
D410290010023,2038,55.5868973
D410290010022,2038,0
D410290009002,2038,6.690140362
D410290009004,2038,0
D410290009003,2038,0.270847503
D410290015001,2038,0.940003474
D410290003002,2038,6.767992119
D410290008001,2038,2.21
D410290002011,2038,6.000450611
D410290002023,2038,12.06
D410290002021,2038,15.28
D410290002013,2038,0
D410290001002,2038,23.46
D410290001001,2038,5.21
D410290004061,2038,2.680075078
D410290003001,2038,5.830177222
D410290004052,2038,14.56060228
D410290004062,2038,7.46
D410290005023,2038,8.070051949
D410290005022,2038,21.44
D410290005011,2038,0
D410290005012,2038,4.69
D410290006013,2038,2.98
D410290005021,2038,22.21096374
D410290004051,2038,7.840320568
D410290004041,2038,0
D410290004042,2038,3.51
D410290004032,2038,6.42
D410290004031,2038,10.33
D410290025001,2038,0
D410290006023,2038,0.330001416
D410290006011,2038,1.080009141
D410290006012,2038,3.81
D410290006014,2038,7.95
D410290006021,2038,2.55
D410290006022,2038,2.660110984
D410290016011,2038,0.760009151
D410290007001,2038,4.4100368
D410290002012,2038,0
D410290002022,2038,6.740948095
D410290002033,2038,0
D410290002031,2038,5.39
D410290002032,2038,28.89
D410290007002,2038,6.75
D410290007005,2038,7.39
D410290007004,2038,5.13
D410290008002,2038,0.854765248
D410290015004,2038,3.34
D410290015003,2038,0
D410290015002,2038,0.290000657
D410290016024,2038,0
D410290007003,2038,0.62
D410290016023,2038,0.200188971
D410290016021,2038,0
D410290023001,2038,0.01
D410290017002,2038,0
D410290017001,2038,2.38
D410290016025,2038,2.95009073
D410290016012,2038,0
D410290016022,2038,0
D410290024001,2038,0.120067348
D410290024002,2038,0.084800014
D410290017003,2038,0.363961258
D410290017004,2038,1.55
D410290023002,2038,0
D410290021001,2038,0.2
D410290021002,2038,0
D410290021003,2038,0
D410290022001,2038,0
D410290020002,2038,17.14122391
D410290022002,2038,0
D410290019002,2038,5.430307471
D410290022003,2038,0
D410290022004,2038,1.649453266
D410290018003,2038,1.38
D410290018004,2038,8.440557394
D410290019001,2038,12.14057599
D410290018002,2038,1.3
D410290020001,2038,4.690343841
D410290018001,2038,0
D410290025003,2038,0.040033646
D410290013013,2038,5.050398529
D410290013024,2038,4.05
D410290013023,2038,12.23
