Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,2010,0,0,1,0,0,0,0,0
Albany,2040,600810.4845,0,1067674.192,0,0,0,0,0
Bend,2010,121896.3528,0,122258.0787,153762.1606,0,0,0,0
Bend,2040,757701.4227,0,759949.8924,955777.6354,0,0,0,0
Corvallis,2010,151978.9508,0,222896.4317,51146.9797,0,0,0,0
Corvallis,2040,773220.1125,0,1134025.489,260219.4132,0,0,0,0
EugeneSpringfield,2010,2062417.971,194962.1587,2744032.956,169940.0183,0,0,0,0
EugeneSpringfield,2040,6474094.226,691269.4722,4137810.405,630059.3286,0,0,0,0
GrantsPass,2040,167049.7931,0,351434.8864,383433.068,0,0,0,0
GrantsPass,2010,0,0,1,0,0,0,0,0
Metro,2010,7855611.851,214238.4398,24922409.42,426509.301,0,192636.4132,6199278.508,103824.2639
Metro,2040,33147428.55,1501572.649,89348575.23,2989354.766,0,1350166.523,29487473.86,727692.3563
None,2010,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
RogueValley,2010,878841.4541,0,1440191.597,0,0,0,0,0
RogueValley,2040,3273375.155,0,4920019.212,0,0,0,0,0
SalemKeizer,2010,3352343.829,337035.5462,2407017.444,0,0,0,0,0
SalemKeizer,2040,11976248.8,1346863.729,4639779.496,0,0,0,0,0
