Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Albany,2010,0,0.5,0.5,0,0,0
Albany,2040,0.95,0.95,0.95,0.1,0,0
Bend,2040,0.95,0.95,0.95,0.2,0,0
Bend,2010,0,0.5,0.5,0,0,0
Corvallis,2040,0.95,0.95,0.95,0.2,0,0
Corvallis,2010,0,0.5,0.5,0,0,0
EugeneSpringfield,2010,0,0.5,0.52,0.2,0,0
EugeneSpringfield,2040,0.95,0.95,0.95,0.32,0,0
GrantsPass,2010,0,0.5,0.5,0,0,0
GrantsPass,2040,0.95,0.95,0.95,0.1,0,0
Metro,2010,0.98,0.8,0.58,0.2,0,0
Metro,2040,0.98,0.95,0.95,0.32,0,0
None,2010,0,0,0,0,0,0
None,2040,0,0,0,0,0,0
RogueValley,2010,0,0.5,0.5,0,0,0
RogueValley,2040,0.95,0.95,0.95,0.2,0,0
SalemKeizer,2010,0,0.5,0.76,0.07,0,0
SalemKeizer,2040,0.95,0.95,0.95,0.2,0,0
