Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1991,1,0,0,1,0,0
1992,1,0,0,1,0,0
1993,1,0,0,1,0,0
1994,1,0,0,1,0,0
1995,1,0,0,1,0,0
1996,1,0,0,1,0,0
1997,1,0,0,1,0,0
1998,1,0,0,1,0,0
1999,1,0,0,1,0,0
2000,1,0,0,1,0,0
2001,0.9976,0.0024,0,1,0,0
2002,0.9952,0.0048,0,1,0,0
2003,0.9928,0.0072,0,1,0,0
2004,0.9904,0.0096,0,1,0,0
2005,0.988,0.012,0,1,0,0
2006,0.9792,0.0208,0,0.999,0.001,0
2007,0.9704,0.0296,0,0.998,0.002,0
2008,0.9616,0.0384,0,0.997,0.003,0
2009,0.9528,0.0472,0,0.996,0.004,0
2010,0.944,0.056,0,0.995,0.005,0
2011,0.9422,0.0568,0.001,0.9944,0.0056,0
2012,0.9404,0.0576,0.002,0.9938,0.0062,0
2013,0.9386,0.0584,0.003,0.9932,0.0068,0
2014,0.9368,0.0592,0.004,0.9926,0.0074,0
2015,0.935,0.06,0.005,0.992,0.008,0
2016,0.9296,0.0624,0.008,0.9914,0.0084,2e-4
2017,0.9242,0.0648,0.011,0.9908,0.0088,4e-4
2018,0.9188,0.0672,0.014,0.9902,0.0092,6e-4
2019,0.9134,0.0696,0.017,0.9896,0.0096,8e-4
2020,0.908,0.072,0.02,0.989,0.01,0.001
2021,0.9002,0.0736,0.0262,0.9872,0.0104,0.0024
2022,0.8924,0.0752,0.0324,0.9854,0.0108,0.0038
2023,0.8846,0.0768,0.0386,0.9836,0.0112,0.0052
2024,0.8768,0.0784,0.0448,0.9818,0.0116,0.0066
2025,0.869,0.08,0.051,0.98,0.012,0.008
2026,0.859,0.0808,0.0602,0.9774,0.0122,0.0104
2027,0.849,0.0816,0.0694,0.9748,0.0124,0.0128
2028,0.839,0.0824,0.0786,0.9722,0.0126,0.0152
2029,0.829,0.0832,0.0878,0.9696,0.0128,0.0176
2030,0.819,0.084,0.097,0.967,0.013,0.02
2031,0.8074,0.0846,0.108,0.9644,0.0136,0.022
2032,0.7958,0.0852,0.119,0.9618,0.0142,0.024
2033,0.7842,0.0858,0.13,0.9592,0.0148,0.026
2034,0.7726,0.0864,0.141,0.9566,0.0154,0.028
2035,0.761,0.087,0.152,0.954,0.016,0.03
2036,0.7496,0.0868,0.1636,0.952,0.0162,0.0318
2037,0.7382,0.0866,0.1752,0.95,0.0164,0.0336
2038,0.7268,0.0864,0.1868,0.948,0.0166,0.0354
2039,0.7154,0.0862,0.1984,0.946,0.0168,0.0372
2040,0.704,0.086,0.21,0.944,0.017,0.039
2041,0.6926,0.0868,0.2206,0.9424,0.0172,0.0404
2042,0.6812,0.0876,0.2312,0.9408,0.0174,0.0418
2043,0.6698,0.0884,0.2418,0.9392,0.0176,0.0432
2044,0.6584,0.0892,0.2524,0.9376,0.0178,0.0446
2045,0.647,0.09,0.263,0.936,0.018,0.046
2046,0.6378,0.0902,0.272,0.935,0.018,0.047
2047,0.6286,0.0904,0.281,0.934,0.018,0.048
2048,0.6194,0.0906,0.29,0.933,0.018,0.049
2049,0.6102,0.0908,0.299,0.932,0.018,0.05
2050,0.601,0.091,0.308,0.931,0.018,0.051
