Year,VanPropGasoline,VanPropDiesel,VanPropCng,BusPropGasoline,BusPropDiesel,BusPropCng,RailPropGasoline,RailPropDiesel
1990,1,0,0,0,1,0,0,1
1991,1,0,0,0,1,0,0,1
1992,1,0,0,0,1,0,0,1
1993,1,0,0,0,1,0,0,1
1994,1,0,0,0,1,0,0,1
1995,1,0,0,0,1,0,0,1
1996,1,0,0,0,1,0,0,1
1997,1,0,0,0,1,0,0,1
1998,1,0,0,0,1,0,0,1
1999,1,0,0,0,1,0,0,1
2000,1,0,0,0,1,0,0,1
2001,1,0,0,0,1,0,0,1
2002,1,0,0,0,1,0,0,1
2003,1,0,0,0,1,0,0,1
2004,1,0,0,0,1,0,0,1
2005,1,0,0,0,1,0,0,1
2006,1,0,0,0,1,0,0,1
2007,1,0,0,0,1,0,0,1
2008,1,0,0,0,1,0,0,1
2009,1,0,0,0,1,0,0,1
2010,1,0,0,0,1,0,0,1
2011,1,0,0,0,1,0,0,1
2012,1,0,0,0,1,0,0,1
2013,1,0,0,0,1,0,0,1
2014,1,0,0,0,1,0,0,1
2015,1,0,0,0,1,0,0,1
2016,1,0,0,0,1,0,0,1
2017,1,0,0,0,1,0,0,1
2018,1,0,0,0,1,0,0,1
2019,1,0,0,0,1,0,0,1
2020,1,0,0,0,1,0,0,1
2021,1,0,0,0,1,0,0,1
2022,1,0,0,0,1,0,0,1
2023,1,0,0,0,1,0,0,1
2024,1,0,0,0,1,0,0,1
2025,1,0,0,0,1,0,0,1
2026,1,0,0,0,1,0,0,1
2027,1,0,0,0,1,0,0,1
2028,1,0,0,0,1,0,0,1
2029,1,0,0,0,1,0,0,1
2030,1,0,0,0,1,0,0,1
2031,1,0,0,0,1,0,0,1
2032,1,0,0,0,1,0,0,1
2033,1,0,0,0,1,0,0,1
2034,1,0,0,0,1,0,0,1
2035,1,0,0,0,1,0,0,1
2036,1,0,0,0,1,0,0,1
2037,1,0,0,0,1,0,0,1
2038,1,0,0,0,1,0,0,1
2039,1,0,0,0,1,0,0,1
2040,1,0,0,0,1,0,0,1
2041,1,0,0,0,1,0,0,1
2042,1,0,0,0,1,0,0,1
2043,1,0,0,0,1,0,0,1
2044,1,0,0,0,1,0,0,1
2045,1,0,0,0,1,0,0,1
2046,1,0,0,0,1,0,0,1
2047,1,0,0,0,1,0,0,1
2048,1,0,0,0,1,0,0,1
2049,1,0,0,0,1,0,0,1
2050,1,0,0,0,1,0,0,1
