Year,BiodieselPropDiesel,EthanolPropGasoline,RngPropCng
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0.02,0.002,0.001
2002,0.04,0.004,0.002
2003,0.06,0.006,0.003
2004,0.08,0.008,0.004
2005,0.1,0.01,0.005
2006,0.1,0.018,0.006
2007,0.1,0.026,0.007
2008,0.1,0.034,0.008
2009,0.1,0.042,0.009
2010,0.1,0.05,0.01
2011,0.1,0.05,0.128
2012,0.1,0.05,0.246
2013,0.1,0.05,0.364
2014,0.1,0.05,0.482
2015,0.1,0.05,0.6
2016,0.102,0.054,0.66
2017,0.104,0.058,0.72
2018,0.106,0.062,0.78
2019,0.108,0.066,0.84
2020,0.11,0.07,0.9
2021,0.11,0.076,0.92
2022,0.11,0.082,0.94
2023,0.11,0.088,0.96
2024,0.11,0.094,0.98
2025,0.11,0.1,1
2026,0.11,0.1,1
2027,0.11,0.1,1
2028,0.11,0.1,1
2029,0.11,0.1,1
2030,0.11,0.1,1
2031,0.11,0.1,1
2032,0.11,0.1,1
2033,0.11,0.1,1
2034,0.11,0.1,1
2035,0.11,0.1,1
2036,0.11,0.1,1
2037,0.11,0.1,1
2038,0.11,0.1,1
2039,0.11,0.1,1
2040,0.11,0.1,1
2041,0.11,0.1,1
2042,0.11,0.1,1
2043,0.11,0.1,1
2044,0.11,0.1,1
2045,0.11,0.1,1
2046,0.11,0.1,1
2047,0.11,0.1,1
2048,0.11,0.1,1
2049,0.11,0.1,1
2050,0.11,0.1,1
