Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
1990,1,0,0,1,0,0,0,0,1
1991,1,0,0,1,0,0,0,0,1
1992,1,0,0,1,0,0,0,0,1
1993,1,0,0,1,0,0,0,0,1
1994,1,0,0,1,0,0,0,0,1
1995,1,0,0,1,0,0,0,0,1
1996,1,0,0,1,0,0,0,0,1
1997,1,0,0,1,0,0,0,0,1
1998,1,0,0,1,0,0,0,0,1
1999,1,0,0,1,0,0,0,0,1
2000,1,0,0,1,0,0,0,0,1
2001,1,0,0,1,0,0,0,0,1
2002,1,0,0,1,0,0,0,0,1
2003,1,0,0,1,0,0,0,0,1
2004,1,0,0,1,0,0,0,0,1
2005,1,0,0,1,0,0,0,0,1
2006,1,0,0,1,0,0,0.0054606718,0,0.9945393282
2007,1,0,0,1,0,0,0.0109213436,0,0.9890786564
2008,1,0,0,1,0,0,0.0163820154,0,0.9836179846
2009,1,0,0,1,0,0,0.0218426872,0,0.9781573128
2010,1,0,0,1,0,0,0.027303359,0,0.972696641
2011,1,0,0,1,0,0,0.0264533932,0,0.9735466068
2012,1,0,0,1,0,0,0.0256034274,0,0.9743965726
2013,1,0,0,1,0,0,0.0247534616,0,0.9752465384
2014,1,0,0,1,0,0,0.0239034958,0,0.9760965042
2015,1,0,0,1,0,0,0.02305353,0,0.97694647
2016,1,0,0,1,0,0,0.02305353,0,0.97694647
2017,1,0,0,1,0,0,0.02305353,0,0.97694647
2018,1,0,0,1,0,0,0.02305353,0,0.97694647
2019,1,0,0,1,0,0,0.02305353,0,0.97694647
2020,1,0,0,1,0,0,0.02305353,0,0.97694647
2021,1,0,0,1,0,0,0.02305353,0,0.97694647
2022,1,0,0,1,0,0,0.02305353,0,0.97694647
2023,1,0,0,1,0,0,0.02305353,0,0.97694647
2024,1,0,0,1,0,0,0.02305353,0,0.97694647
2025,1,0,0,1,0,0,0.02305353,0,0.97694647
2026,1,0,0,1,0,0,0.02305353,0,0.97694647
2027,1,0,0,1,0,0,0.02305353,0,0.97694647
2028,1,0,0,1,0,0,0.02305353,0,0.97694647
2029,1,0,0,1,0,0,0.02305353,0,0.97694647
2030,1,0,0,1,0,0,0.02305353,0,0.97694647
2031,1,0,0,1,0,0,0.02305353,0,0.97694647
2032,1,0,0,1,0,0,0.02305353,0,0.97694647
2033,1,0,0,1,0,0,0.02305353,0,0.97694647
2034,1,0,0,1,0,0,0.02305353,0,0.97694647
2035,1,0,0,1,0,0,0.02305353,0,0.97694647
2036,1,0,0,1,0,0,0.02305353,0,0.97694647
2037,1,0,0,1,0,0,0.02305353,0,0.97694647
2038,1,0,0,1,0,0,0.02305353,0,0.97694647
2039,1,0,0,1,0,0,0.02305353,0,0.97694647
2040,1,0,0,1,0,0,0.02305353,0,0.97694647
2041,1,0,0,1,0,0,0.02305353,0,0.97694647
2042,1,0,0,1,0,0,0.02305353,0,0.97694647
2043,1,0,0,1,0,0,0.02305353,0,0.97694647
2044,1,0,0,1,0,0,0.02305353,0,0.97694647
2045,1,0,0,1,0,0,0.02305353,0,0.97694647
2046,1,0,0,1,0,0,0.02305353,0,0.97694647
2047,1,0,0,1,0,0,0.02305353,0,0.97694647
2048,1,0,0,1,0,0,0.02305353,0,0.97694647
2049,1,0,0,1,0,0,0.02305353,0,0.97694647
2050,1,0,0,1,0,0,0.02305353,0,0.97694647
